"Freq","KAach","KEach","DVach","EC50ach","m2max","chemax","IC50m2","IC50che","KAunk","KEunk","DVunk","EC50unk","MAXunk","test_freq","SS"
"",0.3,2.932083,1.953569,6,5.383,0.969028091365103,0.59631268538553,7.03614090382051,29.6785768437457,1,1,7,5,0,0.3,2.26614110812996e-05
"",0.3,2.932083,1.953569,6,5.383,0.979028567676997,0.593854491490862,7.03979920586684,23.4800455831869,1,1,7,5,0,0.3,2.28799361062115e-05
"",0.3,2.932083,1.953569,6,5.383,1.01513639150993,0.721323168424139,6.96811227442016,26.9311293266023,1,1,7,5,0,0.3,1.59882000395665e-05
"",0.3,2.932083,1.953569,6,5.383,0.95080306322192,0.595974975253244,7.09698883284307,25.2494704135455,1,1,7,5,0,0.3,2.30225648390097e-05
"",0.3,2.932083,1.953569,6,5.383,0.960624099875586,0.596741644410367,7.06528713146009,28.5313785236621,1,1,7,5,0,0.3,2.28312754458893e-05
"",0.3,2.932083,1.953569,6,5.383,0.969417723237509,0.74494123151034,7.00061176454595,7.01678085194721,1,1,7,5,0,0.3,2.36915724617952e-05
"",0.3,2.932083,1.953569,6,5.383,0.9477578961073,0.736313342685443,7.09005308953957,7.05399512898256,1,1,7,5,0,0.3,2.42190146517848e-05
"",0.3,2.932083,1.953569,6,5.383,0.973590158429529,0.595693394561809,7.03593760525104,28.1297121434722,1,1,7,5,0,0.3,2.26987599078032e-05
"",0.3,2.932083,1.953569,6,5.383,0.999460178533208,0.607537746940429,7.00428554798285,23.7968684669089,1,1,7,5,0,0.3,2.21277958058311e-05
"",0.3,2.932083,1.953569,6,5.383,1.01322858504133,0.715758975089436,6.9787315886774,32.8490703507751,1,1,7,5,0,0.3,1.48525109772045e-05
"",0.3,2.932083,1.953569,6,5.383,0.982470429635643,0.593746422500459,6.98762330044018,30.6627539613874,1,1,7,5,0,0.3,2.23691272965078e-05
"",0.3,2.932083,1.953569,6,5.383,1.00945695225478,0.739372188312131,7.03383526788682,27.1202502233094,1,1,7,5,0,0.3,1.45913932490358e-05
"",0.3,2.932083,1.953569,6,5.383,0.962343466753992,0.596234793894642,7.05397147669304,22.2795792832754,1,1,7,5,0,0.3,2.27670670531183e-05
"",0.3,2.932083,1.953569,6,5.383,1.01296080507032,0.694824345220428,6.98388405435591,24.800956284952,1,1,7,5,0,0.3,1.54730579069133e-05
"",0.3,2.932083,1.953569,6,5.383,0.946775760139149,0.596611229150992,7.12482283409796,24.1052150052829,1,1,7,5,0,0.3,2.31699129492997e-05
"",0.3,2.932083,1.953569,6,5.383,1.00396412333567,0.635133147190604,6.99805371531387,29.1903007411944,1,1,7,5,0,0.3,2.05225722962412e-05
"",0.3,2.932083,1.953569,6,5.383,0.958500892811791,0.593867391164931,7.07049490110763,22.0572964891567,1,1,7,5,0,0.3,2.28655614708069e-05
"",0.3,2.932083,1.953569,6,5.383,1.01283302693693,0.721380498190355,6.98115641459765,8.98600105281657,1,1,7,5,0,0.3,1.4865897124298e-05
"",0.3,2.932083,1.953569,6,5.383,0.955372946488242,0.690340284114421,7.04841352337048,7.23748175200708,1,1,7,5,0,0.3,2.35670942041439e-05
"",0.3,2.932083,1.953569,6,5.383,0.966109147398523,0.595451114241376,7.04247390597513,25.6428529127831,1,1,7,5,0,0.3,2.26977880512153e-05
"",0.3,2.932083,1.953569,6,5.383,0.973496090095628,0.59564041037614,7.0044305665781,21.8146875163426,1,1,7,5,0,0.3,2.24835561152446e-05
"",0.3,2.932083,1.953569,6,5.383,1.01776038715666,0.690375074545876,6.93127428326888,23.5251479263503,1,1,7,5,0,0.3,1.54516124769858e-05
"",0.3,2.932083,1.953569,6,5.383,0.957200996653387,0.708902269384476,7.03052264261759,7.13183916347713,1,1,7,5,0,0.3,2.36720566954127e-05
"",0.3,2.932083,1.953569,6,5.383,1.01136887502463,0.705167163766641,6.98607728051268,31.8123787042452,1,1,7,5,0,0.3,1.53907375817318e-05
"",0.3,2.932083,1.953569,6,5.383,0.976596800931315,0.594759678533004,7.00360723476145,22.7229723144031,1,1,7,5,0,0.3,2.24655155101187e-05
"",0.3,2.932083,1.953569,6,5.383,1.00997185979627,0.59647357745276,6.93535708113704,25.8571325607482,1,1,7,5,0,0.3,2.07801942663927e-05
"",0.3,2.932083,1.953569,6,5.383,1.00295855688801,0.625508305263237,6.97594350267225,23.8520476738297,1,1,7,5,0,0.3,2.13917029860886e-05
"",0.3,2.932083,1.953569,6,5.383,0.958279355959419,0.594858838395188,7.0617690308104,22.459853509406,1,1,7,5,0,0.3,2.28252419010642e-05
"",0.3,2.932083,1.953569,6,5.383,0.962589470610417,0.595335418599203,7.05546575369321,22.1148094362201,1,1,7,5,0,0.3,2.27744992584122e-05
