KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.1,2.90444565,1.162187895,6,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.48E-07
0.1,2.700430782,1.2728058,5.970591155,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.43E-07
0.1,2.932977043,1.16393281,6,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.48E-07
0.1,2.931037049,1.165553785,6,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.48E-07
0.1,2.932082663,1.163607742,6,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.48E-07
0.1,3.109799671,1.187548641,6,5.383,0,0,7,7,1,1,7,5,0,0.103085211,5.41E-07
0.1,3.103735177,1.185903572,6,5.383,0,0,7,7,1,1,7,5,0,0.103085211,5.41E-07
0.1,3.102124103,1.185275545,6,5.383,0,0,7,7,1,1,7,5,0,0.103085211,5.41E-07
0.1,2.204398115,1.076522447,6,5.383,0,0,7,7,1,1,7,5,0,0.103601383,6.76E-07
0.1,2.132274491,1.170855732,5.974312141,5.383,0,0,7,7,1,1,7,5,0,0.103549182,6.48E-07
0.1,3.13114978,1.192338131,6,5.383,0,0,7,7,1,1,7,5,0,0.103065907,5.41E-07
0.1,3.160344477,1.19397336,6,5.383,0,0,7,7,1,1,7,5,0,0.103048357,5.40E-07
0.1,2.490688858,1.108085938,6,5.383,0,0,7,7,1,1,7,5,0,0.103416926,6.03E-07
0.1,2.982748567,1.168398315,6,5.383,0,0,7,7,1,1,7,5,0,0.103146204,5.45E-07
0.1,2.982581157,1.170435143,6,5.383,0,0,7,7,1,1,7,5,0,0.103146204,5.45E-07
0.1,2.985726453,1.288854804,5.977353079,5.383,0,0,7,7,1,1,7,5,0,0.103029453,5.37E-07
