"","Group.1","Group.2","m2max","chemax","IC50m2","IC50che","freq","SS","tissue","var"
"34",0.3,2,0.964949173406552,0.52022492126147,6.89558939078407,7.02751989853874,0.3,3.88118844457509e-06,2,"median"
"35",0.3,5,1,0.395654647392483,7.04061089618462,6.20866410001367,0.3,0.00195291720920414,5,"median"
"36",0.3,7,1,0.412855536004863,7.04999439798474,6.81622158424835,0.3,0.00240403330843815,7,"median"
"37",0.7,1,1,0.65850568260603,6.78906345890411,5.83890512597508,0.7,0.00217610176302468,1,"median"
"38",0.7,2,0.831082974731668,0.702519551274344,6.42949950522396,5.31961987782094,0.7,6.17054517546926e-06,2,"median"
"39",0.7,5,0.902781215314794,0.000524897207725998,7.76155945688257,0.00752329598901984,0.7,0.00111507915556216,5,"median"
"40",0.7,7,0.930302478225917,0.320243976859465,6.81869889358998,6.82850855506753,0.7,0.00179795839326898,7,"median"
"41",1,1,0.772745669139938,0.000624311646147405,7.20602851392591,0.00641288972952358,1,0.00248961290378414,1,"median"
"42",1,2,1,0.376175027992779,6.33651744882694,4.91683993056455,1,7.47849445039426e-06,2,"median"
"43",1,5,0.000384197780437382,0.705555100764736,0.00717352897966363,4.69265863893165,1,0.00309713574965495,5,"median"
"44",1,7,0.907802825747412,0.335487438000399,7.084921379909,6.87415875355829,1,0.00194998828297869,7,"median"
"45",3,1,1,0.736837287443668,7.0452361950951,22.2154146761887,3,0.00878339841640593,1,"median"
"46",3,2,1,0.886128443571804,6.93535236935515,21.4297664847201,3,4.76419525014664e-05,2,"median"
"47",3,5,1,0.606802228401664,6.64937367018821,21.3329825235507,3,0.00772487745892686,5,"median"
"48",3,7,1,0.454587762397778,6.32519178042813,5.48353699252134,3,0.00555715159300058,7,"median"
"49",7,1,1,0.808700844722071,6.98590017299778,21.9303672222262,7,0.0074955831498753,1,"median"
"50",7,2,1,0.859903136468107,6.52815568306594,16.9106710387062,7,0.000229104955177823,2,"median"
"51",7,5,1,0.587691631922812,6.22825565822256,20.8560168234475,7,0.0154565976911851,5,"median"
"52",7,7,0.994360704977984,0.000794770564624686,6.24145760097247,0.010695757813953,7,0.00688288625614964,7,"median"
"53",10,1,1,0.812316802555917,6.90866403676297,21.8226866690067,10,0.00772298286265156,1,"median"
"54",10,2,1,0.447139711722371,5.91429474459644,7.531952603837,10,0.000327339226833968,2,"median"
"55",10,5,1,0.521348961798674,5.9233558684487,5.2787359127315,10,0.0232704622416438,5,"median"
"56",10,7,0.995790293112221,0.000757795450508477,6.22502365827797,0.0142068359997092,10,0.00812807234376653,7,"median"
"57",15,1,1,0.720032961073685,6.5896698160842,21.7206866433188,15,0.0271492669992426,1,"median"
"58",15,2,1,0.38092964823283,5.63906459921785,6.13225012451438,15,0.000287352666755083,2,"median"
"59",15,5,0.934201593486651,0.00053097893067808,6.92138002419242,0.0083739491980447,15,0.0679465922115436,5,"median"
"60",15,7,0.994845873501392,0.000884520437280397,6.11950200969298,0.0124489436175383,15,0.012078566048484,7,"median"
"61",30,1,1,0.821624173503576,6.80363469012037,21.7986084769658,30,0.0103699910865521,1,"median"
"62",30,2,1,0.407522991021805,5.23269513192904,4.99829705075658,30,0.000682035052383121,2,"median"
"63",30,5,0.916130081704683,0.00042685213127866,20.0306002981177,0.00626796212728576,30,0.060628369508046,5,"median"
"64",30,7,0.98340228872535,0.000333021722370235,6.47872850737834,0.00593707596131257,30,0.014363308103671,7,"median"
"65",0.3,1,0.0179675207592822,0.371401134999057,0.05275382009577,7.65850616792503,0,0.000238369987623329,0,"sd"
"66",0.3,2,0.0172092849898055,0.0502212577906975,0.0573458684700998,2.4615650072279,0,1.05930805523498e-07,0,"sd"
"67",0.3,5,0.345041502163501,0.366780761043365,2.44610394901478,8.82255307385564,0,0.00033504315539364,0,"sd"
"68",0.3,7,0.00344578465681552,0.313524362598685,0.0334558737766414,8.34034422263534,0,0.000239892247021268,0,"sd"
"69",0.7,1,0.0144339411807572,0.357268101383779,0.127277637582914,7.92813324611081,0,0.000268758813749904,0,"sd"
"70",0.7,2,0.0555594450898742,1.45346778146299,0.134432232874023,7.60928910764822,0,7.00803494789223e-07,0,"sd"
"71",0.7,5,0.0250106403205362,0.167118581306425,2.73263045154755,1.90771998612983,0,0.00011067994975149,0,"sd"
"72",0.7,7,0.0124411209013537,0.272879940122981,0.069720146309493,6.93393405574447,0,0.000178230630164079,0,"sd"
"73",1,1,0.0687817684949175,0.190847986621751,1.30809233981914,5.5987865636581,0,0.000247126248758792,0,"sd"
"74",1,2,0.0532400802784069,1.14341959750428,0.231037717205837,8.17389603763153,0,4.55641189040643e-06,0,"sd"
"75",1,5,0.139930936183466,0.338827142415789,0.963158440751518,4.75827087249049,0,0.000322366677898585,0,"sd"
"76",1,7,0.00950552232352202,0.256781270811139,0.0920220091517402,6.18133725577942,0,0.000193609007690244,0,"sd"
"77",3,1,0,0.215351370654224,0.258859320409675,7.03131735304287,0,0.00135206540203969,0,"sd"
"78",3,2,0.000123834760844678,1.71844829683944,0.619695925373641,8.72374514087448,0,0.000186609055896207,0,"sd"
"79",3,5,0,0.265890780411104,0.200655380444227,8.8437711139793,0,0.00101329219977515,0,"sd"
"80",3,7,0,0.342653935718991,0.153497294586193,6.71504703359697,0,0.000625705497128844,0,"sd"
"81",7,1,0,0.205855914047894,0.335657057631751,8.14414632870807,0,0.00268227292504144,0,"sd"
"82",7,2,0,1.00649039989985,0.883999097494713,8.65601525497533,0,0.0019450162929333,0,"sd"
"83",7,5,0,0.30570940087355,0.23248290729218,9.41261502849245,0,0.00224539685175587,0,"sd"
"84",7,7,0.00239463097891093,0.170601297778298,0.127960826100439,5.0101541601323,0,0.0015557750156512,0,"sd"
"85",10,1,0.000230799775128693,0.209661490809299,0.364528663785694,8.28204863944896,0,0.00398293772638455,0,"sd"
"86",10,2,0.000846142655499823,0.810035748103298,0.189392488412723,6.25403684904538,0,0.000193948017309094,0,"sd"
"87",10,5,0,0.337388625715207,0.174134660526405,5.34608528985801,0,0.00239818335517947,0,"sd"
"88",10,7,0.00171484279323529,0.192133858053354,0.137397225941744,4.4035063110185,0,0.00196293856549537,0,"sd"
"89",15,1,0,0.246346900065539,0.304161623640026,8.50189869714858,0,0.00604248114336632,0,"sd"
"90",15,2,0.00243525479881338,1.39032597185195,0.0952915165187433,3.54487997835503,0,0.000334952788696914,0,"sd"
"91",15,5,0.0214735202614683,0.210002026363869,0.389584599889289,1.76360468806441,0,0.0135966131540201,0,"sd"
"92",15,7,0.00202745158547687,0.0862229980680199,0.146973776707356,4.65754717023987,0,0.00207149206106793,0,"sd"
"93",30,1,0.000108308860179669,0.224006756573357,0.353562554299807,7.90290946140883,0,0.00535148306699274,0,"sd"
"94",30,2,0.00184572840990444,1.58011958453728,0.0576958717539222,3.9179915726474,0,0.000170505387253967,0,"sd"
"95",30,5,0.00850300666570875,0.0445531035054088,2.66165431529194,0.577724432744654,0,0.00566427673354177,0,"sd"
"96",30,7,0.0022292825832598,0.000674487380457294,0.270084276753864,0.00879579240683767,0,0.00139759889579512,0,"sd"
