Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ,
13.84,326.501007,484.324982,548.987976,534.948975,651.190002,795.471008,829.270996,1020.130066,1195.430054,
13.86,326.501007,480.928986,554.02301,531.973022,651.723999,795.929016,829.461975,1020.549988,1195.350098,
13.88,326.309998,477.266998,559.25,529.532043,652.449036,796.080994,829.461975,1021.049988,1195.309937,
13.9,325.966003,473.872009,562.721008,528.424988,653.135986,796.500977,829.766968,1021.540039,1195.77002,
13.92,325.776001,470.820007,566.268982,527.548035,653.517029,796.843994,829.729004,1021.810059,1195.72998,
13.94,325.661011,467.462982,569.131042,528.424988,653.593018,797.148987,829.882019,1022.150024,1195.72998,
13.96,325.127014,464.029022,571.420044,529.532043,653.937012,797.302002,830.148987,1022.119995,1195.809937,
13.98,325.318024,460.824982,573.098022,532.087952,654.280029,797.492981,830.416016,1022.309998,1195.889893,
14,325.432007,457.352997,574.204041,535.330017,654.165955,797.76001,830.605957,1022.76001,1195.660034,
14.02,325.013,454.109985,575.272949,539.297974,654.204041,797.873962,830.874023,1022.500061,1195.660034,
14.04,324.89801,450.639008,574.967041,544.06604,654.013,797.950989,830.987976,1022.72998,1195.430054,
14.06,325.203003,447.968018,574.853027,549.330994,653.708008,798.065002,830.987976,1023.450012,1195.199951,
14.08,324.860016,445.336029,574.319031,554.862976,653.859985,798.33197,831.445984,1023.799988,1195.350098,
14.1,324.669006,442.054993,573.135986,560.051025,654.432983,798.636963,831.292969,1024.209961,1195.160034,
14.12,324.936005,439.040985,571.420044,565.888,654.546997,798.942993,831.674988,1024.47998,1195.119995,
14.14,324.555023,436.255981,570.046021,571.496033,654.814026,799.362,831.789001,1024.97998,1194.820068,
14.16,324.440002,433.014008,568.139038,576.417053,655.385986,799.628967,831.713013,1024.710083,1194.780029,
14.18,324.669006,430.800995,566.117004,582.253967,655.996948,799.705017,831.86499,1024.630005,1194.170044,
14.2,324.364014,428.511993,563.903992,584.963013,656.606995,800.162964,831.942017,1025.439941,1194.02002,
14.22,324.097015,425.994019,561.309998,588.586975,656.912048,800.429993,832.360962,1025.23999,1194.02002,
14.24,324.25,423.209015,558.333984,592.973999,657.522949,800.544983,832.360962,1025.280029,1193.670044,
14.26,324.440002,420.768005,555.510986,595.033997,658.28595,800.697021,832.247009,1026.049927,1193.789917,
14.28,324.097015,418.325989,552.382996,597.284973,658.171021,801.154968,832.247009,1026.079956,1193.829956,
14.3,324.059021,415.960999,549.292969,599.879028,658.018982,801.612976,832.513977,1026.540039,1193.789917,
14.32,324.288025,414.09201,545.973999,600.642029,657.942017,801.955994,832.894958,1026.690063,1193.940063,
14.34,324.13501,412.337006,542.997986,600.833008,657.980957,802.299988,833.239014,1027.040039,1194.399902,
14.36,324.173004,409.742004,540.060974,601.825012,657.789978,802.375977,833.047974,1026.890015,1194.589966,
14.38,324.097015,407.492004,536.436951,601.481018,657.751953,802.796021,832.971985,1026.810059,1194.170044,
14.4,324.059021,405.699005,533.117981,600.184021,657.484985,803.101013,833.505981,1027.150024,1194.47998,
14.42,324.097015,403.715027,529.989014,599.22998,657.369995,803.406006,834.231018,1027.300049,1194.359985,
14.44,324.173004,402.22702,526.861023,597.81897,657.217957,803.444031,834.573975,1027.459961,1194.25,
14.46,324.097015,400.243011,523.351013,596.140015,657.713013,804.169006,835.145996,1027.880005,1193.519897,
14.48,324.059021,398.144989,519.842041,593.966003,657.751953,804.856018,835.107971,1028.069946,1192.98999,
14.5,323.983002,396.16098,516.560974,591.601013,658.209045,804.778992,835.794983,1028.109985,1192.98999,
14.52,323.868011,394.520996,513.127014,589.425964,658.552979,804.893982,836.291016,1028.220093,1193.75,
14.54,323.601013,392.994995,509.88501,586.755981,659.010986,805.312988,836.557983,1028.530029,1194.359985,
14.56,323.563019,391.393005,506.794983,583.971008,659.582947,805.466003,836.825012,1028.719971,1194.280029,
14.58,323.601013,389.790009,503.360992,581.185974,659.697021,805.657043,837.09198,1029.329956,1194.129883,
14.6,323.448975,388.303009,500.042023,578.439026,659.96405,805.733032,837.588013,1029.52002,1194.440063,
14.62,324.097015,387.386993,496.609009,574.929016,659.659058,806.267029,837.930969,1029.670044,1194.359985,
14.64,324.097015,386.166016,494.320007,572.067993,659.735046,806.533997,838.656006,1030.280029,1194.399902,
14.66,323.792023,383.915009,491.381989,569.473999,659.315979,807.030029,839.265991,1029.940063,1194.440063,
14.68,323.639008,382.694977,488.178009,565.087036,659.315979,807.335022,839.609985,1029.780029,1193.940063,
14.7,323.983002,381.855011,485.202026,561.61499,659.163025,807.412048,840.067017,1030.01001,1194.319946,
14.72,323.792023,380.177002,481.958984,558.677979,659.010986,807.60199,840.372986,1030.359985,1194.859985,
14.74,323.639008,379.070007,478.906982,554.97699,658.819946,807.641052,840.640015,1030.810059,1195.469971,
14.76,323.906006,377.963989,476.199005,551.58197,659.010986,807.869019,841.020996,1030.810059,1195.72998,
14.78,323.753998,376.820007,473.794983,548.414978,659.20105,807.90802,841.440979,1031.5,1196.119995,
14.8,324.097015,375.561005,471.162994,544.677002,659.392029,807.984009,841.440979,1031.619995,1196.040039,
14.82,324.059021,374.644989,468.683014,541.549011,660.116943,808.175049,841.632019,1031.919922,1195.619995,
14.84,324.097015,373.806,466.85202,538.611023,660.612976,808.593994,842.203979,1032.070068,1195.660034,
14.86,324.097015,372.584991,465.440979,535.368042,661.146973,808.593994,842.814026,1032.189941,1195.809937,
14.88,324.021027,371.363983,465.326019,533.575012,661.909973,809.127991,842.661987,1032.040039,1195.660034,
14.9,324.059021,370.983002,465.89801,533.156006,662.52002,809.548035,842.624023,1032.340088,1195.51001,
14.92,324.021027,369.457001,467.539001,532.164001,663.015991,809.243042,843.119995,1032.869995,1195.72998,
14.94,324.097015,368.122009,470.93399,533.117981,662.825989,809.205017,843.119995,1033.099976,1196.119995,
14.96,324.059021,367.81601,474.902008,535.483032,663.321045,809.624023,843.61499,1033.939941,1196.310059,
14.98,323.716003,367.320007,479.898987,537.657043,663.627014,809.739014,843.882996,1034.25,1196.949951,
15,324.059021,366.100006,486.613983,541.472046,663.550049,810.082031,843.692017,1034.780029,1196.840088,
15.02,323.487,365.604004,493.519012,546.507996,663.39801,810.540039,843.882996,1034.970093,1196.459961,
15.04,323.258026,364.764008,500.500031,551.047974,663.359985,810.502014,844.263977,1035.469971,1196.380005,
15.06,323.601013,363.620026,508.206024,555.85498,663.054016,811.074036,844.340027,1035.809937,1196.27002,
15.08,323.716003,362.933014,516.065002,561.882019,663.092957,811.341003,844.569031,1036.609985,1196.040039,
15.1,323.410004,362.094025,523.541992,567.605042,663.473999,811.30304,844.455017,1036.540039,1195.809937,
15.12,323.639008,361.483978,531.286011,572.526001,663.359985,811.227051,845.179016,1036.649902,1196.079956,
15.14,324.097015,360.567993,538.420044,577.981018,663.359985,811.570007,845.294006,1036.98999,1196.189941,
15.16,323.716003,359.996002,545.477966,583.398987,663.740967,811.990051,845.674988,1037.449951,1196.310059,
15.18,323.258026,359.652008,551.657959,587.365967,664.237,812.371033,846.095032,1037.449951,1196.339966,
15.2,323.487,358.699005,557.304016,590.951965,664.656982,812.600037,846.247986,1037.719971,1196.339966,
15.22,323.677979,357.973999,562.682983,594.919983,665.229004,812.942993,846.515015,1038.180054,1196.339966,
15.24,323.143005,357.59198,567.376038,597.971008,665.609985,813.134033,846.55304,1038.560059,1196.189941,
15.26,323.601013,356.866974,571.609985,600.070007,665.877014,813.401001,846.515015,1038.480103,1195.539917,
15.28,323.792023,355.951996,574.738953,601.863037,665.838989,813.66803,846.591003,1039.049927,1195.350098,
15.3,323.563019,355.531982,577.485046,603.656006,665.687012,813.934998,847.049011,1039.049927,1195.619995,
15.32,323.525024,354.884003,579.545044,604.34198,665.648987,814.050049,847.278015,1039.25,1195.390015,
15.34,323.296021,354.310974,580.880981,604.114014,665.724976,814.584045,847.049011,1039.51001,1195.23999,
15.36,323.220001,353.395996,581.567017,604.494995,664.924011,814.736023,847.658997,1039.73999,1195.390015,
15.38,322.72403,352.899994,581.796021,603.999023,664.885986,814.812988,847.926025,1039.819946,1195.199951,
15.4,323.220001,352.824005,582.063049,602.93103,665.037964,815.080017,848.231018,1040.01001,1194.780029,
15.42,323.525024,352.212982,581.872009,602.244019,664.961975,815.460999,848.765015,1040.540039,1195.050049,
15.44,323.487,351.335999,581.261963,600.450989,665.153015,815.690002,848.537048,1040.77002,1195.050049,
15.46,323.067017,351.069,580.041016,598.619995,664.885986,815.804016,848.537048,1041,1194.589966,
15.48,323.372009,350.381989,578.59198,596.406982,665,815.957031,848.842041,1041.079956,1194.589966,
15.5,323.487,349.734009,576.645996,594.5,665.458008,816.14801,849.109009,1041.5,1194.669922,
15.52,322.952972,349.924011,574.624023,591.906006,665.992004,816.338989,849.109009,1041.530029,1194.780029,
15.54,322.53302,349.466003,572.79303,588.700989,666.334961,816.528992,849.376038,1041.949951,1195.090088,
15.56,322.72403,348.588989,570.42804,586.565002,666.945984,817.025024,849.567017,1042.070068,1194.859985,
15.58,322.952972,348.360016,567.643005,583.855957,667.402954,816.987,849.414001,1042.179932,1195.309937,
15.6,322.991028,348.475006,564.742981,580.537048,667.747009,817.062988,849.947998,1042.410034,1195.430054,
15.62,322.952972,347.63501,562.377991,577.485046,667.860962,817.445007,850.864014,1042.76001,1195.469971,
15.64,323.105011,346.682007,559.212036,574.433044,667.784973,817.445007,851.28302,1042.529907,1195.51001,
15.66,322.800018,346.415009,555.893005,570.924011,667.593994,817.483032,851.131042,1042.950073,1195.72998,
15.68,322.53302,346.300018,553.031982,567.414001,667.36499,817.86499,851.512024,1042.869995,1195.660034,
15.7,322.991028,345.652008,549.713013,564.324036,667.021973,818.208008,851.856018,1043.329956,1195.72998,
15.72,322.53302,345.460999,546.240967,561.424011,667.059998,818.398987,851.473999,1043.400024,1196.339966,
15.74,322.571014,345.346008,543.151001,557.53302,666.906982,818.742004,852.046021,1043.630005,1196.419922,
15.76,322.72403,344.164001,539.90802,554.138,667.250977,819.161987,852.352051,1043.589966,1196.339966,
15.78,322.380005,343.973022,537.047058,550.781006,667.135986,819.085022,852.199036,1043.75,1196.98999,
15.8,322.075012,343.782013,533.117981,547.424011,667.47998,819.276001,852.770996,1044.01001,1197.029907,
15.82,322.380005,343.515015,529.799011,544.027954,667.822998,819.428955,853.572021,1044.130005,1197.029907,
15.84,322.838013,343.210022,526.785034,541.357971,667.937988,819.314026,853.458008,1044.280029,1196.840088,
15.86,322.72403,342.905029,523.275024,539.488953,668.394958,820.077026,853.954041,1044.430054,1197.369995,
15.88,322.609009,342.71402,519.765015,537.42804,668.928955,820.077026,854.183044,1044.430054,1197.069946,
15.9,322.914978,342.409027,516.752014,536.703979,669.27301,820.000977,854.296997,1044.619995,1196.949951,
15.92,322.685974,341.798004,512.708008,537.657043,669.653992,820.458984,854.450012,1044.780029,1197.180054,
15.94,322.495026,341.341003,509.656006,538.611023,670.036011,820.687988,854.984009,1044.890015,1196.949951,
15.96,322.113007,341.149994,506.756012,541.052979,670.378967,820.611023,854.984009,1044.970093,1196.98999,
15.98,322.571014,340.845001,503.628021,544.790955,670.187988,820.954956,855.135986,1045.22998,1197.219971,
16,322.609009,340.425018,500.157013,549.10199,669.920959,821.18396,855.327026,1045.310059,1197.069946,
16.02,322.991028,340.272003,497.218994,553.794983,669.882996,820.878052,855.709045,1045.809937,1196.840088,
16.04,323.067017,340.615997,493.862,559.440979,669.653992,821.18396,855.785034,1045.809937,1196.689941,
16.06,322.991028,340.921021,490.657013,565.087036,669.463989,821.793945,855.937988,1045.850098,1196.540039,
16.08,322.800018,342.180023,488.178009,570.580017,669.539978,821.984985,856.356995,1045.920044,1196.149902,
16.1,322.113007,344.583008,485.125977,576.493042,669.578003,821.94696,856.166016,1045.650024,1195.809937,
16.12,322.113007,347.787994,481.92099,582.253967,670.112,822.442017,856.624023,1045.72998,1195.920044,
16.14,322.72403,351.90799,479.402985,587.328003,670.645996,822.671021,857.15802,1045.809937,1195.960083,
16.16,322.304016,357.707001,476.466003,592.096985,670.799011,822.862,856.929016,1046,1195.700073,
16.18,322.151978,364.268005,474.023987,596.674011,671.980957,823.090942,857.006042,1045.850098,1195.72998,
16.2,322.762024,371.05899,472.07901,601.138,672.896973,823.281982,857.616028,1045.880005,1195.72998,
16.22,322.418976,379.260986,470.93399,604.190002,673.468994,823.54895,857.730957,1046.22998,1195.920044,
16.24,322.151978,387.845001,470.514008,606.822021,674.040955,823.625,857.807007,1046.040039,1195.72998,
16.26,322.037018,396.35199,470.476013,609.302002,674.690002,824.46405,858.341003,1045.850098,1195.350098,
16.28,322.34201,405.584015,472.497986,611.057007,674.84198,824.502991,858.570007,1045.72998,1195.23999,
16.3,322.304016,415.578979,476.04599,612.01001,675.223999,824.998047,858.608032,1045.079956,1195.469971,
16.32,322.495026,424.735016,480.203979,612.697021,675.757996,825.684998,858.570007,1044.849976,1195.469971,
16.34,322.762024,433.777008,485.469025,612.658997,675.490967,826.10498,859.256958,1045.040039,1195.009888,
16.36,322.53302,442.817993,491.497009,612.658997,675.490967,826.028015,859.06604,1045.040039,1195.539917,
16.38,322.151978,451.440002,497.906006,612.734985,675.60498,826.180969,859.142029,1045.390015,1195.889893,
16.4,322.495026,459.641998,504.925018,611.742981,675.414978,826.601013,859.561951,1045.390015,1195.72998,
16.42,322.113007,467.462982,512.287964,610.256042,675.032959,826.94397,859.371033,1045.27002,1195.539917,
16.44,322.037018,474.673004,519.613037,608.692017,675.070984,826.981995,859.179993,1045.160034,1195.390015,
16.46,322.304016,481.27301,527.319031,606.746033,675.299988,827.210999,859.294983,1045.310059,1195.350098,
16.48,322.571014,487.338013,534.720032,604.419006,675.109985,827.401978,859.752991,1045.390015,1195.119995,
16.5,322.151978,493.061005,541.549011,601.97699,675.60498,827.782959,859.638,1045.349976,1195.160034,
16.52,321.960999,498.095978,547.880981,600.070007,675.682007,828.240967,859.905029,1045.27002,1195.119995,
16.54,321.884003,502.484009,554.367004,597.208984,675.682007,828.011963,859.942993,1045.72998,1194.969971,
